id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc
7475327,1/1/2010 0:01,1556,2972,($77.00),Swipe Transaction,59935,Beulah,ND,58523,5499
7475328,1/1/2010 0:02,561,4575,$14.57 ,Swipe Transaction,67570,Bettendorf,IA,52722,5311
7475329,1/1/2010 0:02,1129,102,$80.00 ,Swipe Transaction,27092,Vista,CA,92084,4829
7475331,1/1/2010 0:05,430,2860,$200.00 ,Swipe Transaction,27092,Crown Point,IN,46307,4829
7475332,1/1/2010 0:06,848,3915,$46.41 ,Swipe Transaction,13051,Harwood,MD,20776,5813
7475333,1/1/2010 0:07,1807,165,$4.81 ,Swipe Transaction,20519,Bronx,NY,10464,5942
7475334,1/1/2010 0:09,1556,2972,$77.00 ,Swipe Transaction,59935,Beulah,ND,58523,5499
7475335,1/1/2010 0:14,1684,2140,$26.46 ,Online Transaction,39021,ONLINE,,,4784
7475336,1/1/2010 0:21,335,5131,$261.58 ,Online Transaction,50292,ONLINE,,,7801
7475337,1/1/2010 0:21,351,1112,$10.74 ,Swipe Transaction,3864,Flushing,NY,11355,5813
7475338,1/1/2010 0:23,554,3912,$3.51 ,Swipe Transaction,67570,Pearland,TX,77581,5311
7475339,1/1/2010 0:23,605,5061,$2.58 ,Swipe Transaction,75781,Brooklyn,NY,11210,5411
7475340,1/1/2010 0:26,1556,2972,$39.63 ,Swipe Transaction,59935,Beulah,ND,58523,5499
7475341,1/1/2010 0:27,1797,1127,$43.33 ,Swipe Transaction,33326,Kahului,HI,96732,4121
7475342,1/1/2010 0:30,114,3398,$49.42 ,Swipe Transaction,61195,North Hollywood,CA,91606,5541
7475343,1/1/2010 0:31,1634,2464,$1.09 ,Swipe Transaction,20519,San Benito,TX,78586,5942
7475344,1/1/2010 0:32,646,2093,$73.79 ,Swipe Transaction,1636,Erie,PA,16511,7538
7475345,1/1/2010 0:32,1129,5492,$100.00 ,Swipe Transaction,27092,Vista,CA,92084,4829
7475346,1/1/2010 0:34,394,4717,$26.04 ,Online Transaction,39021,ONLINE,,,4784
7475347,1/1/2010 0:36,114,3398,($64.00),Swipe Transaction,61195,North Hollywood,CA,91606,5541
7475348,1/1/2010 0:36,1376,2182,$54.27 ,Swipe Transaction,88945,Cedar Park,TX,78613,5813
7475349,1/1/2010 0:37,1682,238,$20.74 ,Swipe Transaction,21586,Grand Forks,ND,58201,5411
7475350,1/1/2010 0:38,114,3398,$64.00 ,Swipe Transaction,61195,North Hollywood,CA,91606,5541
7475351,1/1/2010 0:38,121,5952,$57.54 ,Swipe Transaction,11901,Menasha,WI,54952,5300
7475353,1/1/2010 0:43,301,3742,$10.17 ,Online Transaction,39021,ONLINE,,,4784
7475354,1/1/2010 0:43,1755,4228,$12.01 ,Swipe Transaction,28666,Cordele,GA,31015,5921
7475356,1/1/2010 0:45,566,3439,$16.86 ,Online Transaction,16798,ONLINE,,,4121
7475357,1/1/2010 0:46,379,3881,$4.64 ,Swipe Transaction,50783,Mobile,AL,36695,5411
7475358,1/1/2010 0:48,401,3004,$669.88 ,Swipe Transaction,68977,West Covina,CA,91791,3174
7475359,1/1/2010 0:48,1127,3869,$22.57 ,Online Transaction,39021,ONLINE,,,4784
7475360,1/1/2010 0:49,652,4293,$2.40 ,Swipe Transaction,74624,East Hartford,CT,6108,5411
7475361,1/1/2010 0:53,1963,3317,$40.35 ,Swipe Transaction,69972,Vacaville,CA,95687,5814
7475362,1/1/2010 0:56,1357,4488,$14.57 ,Swipe Transaction,78632,Tacoma,WA,98404,5921
7475363,1/1/2010 0:57,285,3442,$7.80 ,Swipe Transaction,81536,Watsonville,CA,95076,5310
7475364,1/1/2010 0:57,1201,16,$2.95 ,Swipe Transaction,61195,Woburn,MA,1801,5541
7475365,1/1/2010 1:01,820,127,$270.22 ,Online Transaction,73186,ONLINE,,,4814
7475366,1/1/2010 1:03,1703,2969,$78.00 ,Swipe Transaction,43293,Grand Junction,CO,81506,5499
7475367,1/1/2010 1:06,1758,4686,$87.09 ,Online Transaction,17976,ONLINE,,,4900
7475368,1/1/2010 1:07,414,2815,$148.39 ,Swipe Transaction,5258,Morristown,NJ,7960,4900
7475370,1/1/2010 1:07,1963,3364,$48.12 ,Swipe Transaction,88646,Vacaville,CA,95688,5812
7475371,1/1/2010 1:08,561,3764,$7.75 ,Swipe Transaction,86977,Burlington,IA,52601,5813
7475372,1/1/2010 1:11,566,5577,$14.66 ,Online Transaction,16798,ONLINE,,,4121
